OBJECTID,Join_Count,TARGET_FID,url,building,PerSqFeet,lat,lon,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,Shape_Leng
1,1,1,https://hk.centanet.com/findproperty/centadata-details/%E6%96%B0%E5%A1%AB%E5%9C%B0%E8%A1%97608%E8%99%9F_2-MMZSZHIAHT,新填地街608號,1395,22.32298,114.16695,NO SPECIFIC NAME,沒有名稱,0,820.8,120,940.8,10,61,17490,0.2,0,0,0,0,0,0,0,油尖旺區,Yau Tsim Mong, ,40.72176656
2,1,2,https://hk.centanet.com/findproperty/centadata-details/%E4%BF%9D%E5%85%B6%E5%88%A9%E5%A4%A7%E5%BB%88_2-EKYAPPEAPA,保其利大廈,1855,22.30848,114.18335,BULKELEY BUILDING,保其利大廈,0,2496,284,2780,10,64,20800,0.05,1,1,1,0,0,836931,818837,九龍城區,Kowloon City,**,78.24874738
3,1,3,https://hk.centanet.com/findproperty/centadata-details/%E5%BB%A3%E6%9D%B1%E9%81%93907%E8%99%9F_2-EEBEPPSEPW,廣東道907號,1927,22.31517,114.16784,NO SPECIFIC NAME,沒有名稱,0,2395,415.7,2810.7,7,67,16990,0.4,0,0,1,0,0,0,0,油尖旺區,Yau Tsim Mong, ,39.71029825
4,1,4,https://hk.centanet.com/findproperty/centadata-details/%E7%8D%85%E5%AD%90%E7%9F%B3%E9%81%9389%E8%99%9F_2-UFQJQRSRRV,獅子石道89號,2367,22.33044,114.18807,NO SPECIFIC NAME,沒有名稱,0,710.9,151.6,862.5,6,72,24230,0.4,0,0,1,0,0,0,0,九龍城區,Kowloon City, ,51.35159152
5,1,5,https://hk.centanet.com/findproperty/centadata-details/%E7%82%AE%E4%BB%97%E8%A1%9720%E8%99%9F_2-EKGYGPGVPS,炮仗街20號,2571,22.31809,114.18836,NO SPECIFIC NAME,沒有名稱,0,1208,151,1359,9,61,19040,0.05,0,1,0,0,0,837449,819900,九龍城區,Kowloon City,**,44.89949231
6,1,6,https://hk.centanet.com/findproperty/centadata-details/%E9%BB%91%E5%B8%83%E8%A1%9795%E8%99%9F_2-EEKYWPSYPD,黑布街95號,2611,22.31933,114.17216,NO SPECIFIC NAME,沒有名稱,0,1222,155,1377,9,65,18170,0.2,0,0,0,0,0,0,0,油尖旺區,Yau Tsim Mong, ,47.3796605
7,1,7,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%A9%E8%88%88%E5%A4%A7%E5%BB%88_2-TTLLZHTAHM,天興大廈,2660,22.28785,114.13952,TIN HING BUILDING,天興大廈,0,5423.5,953,6376.5,13,58,22780,0.3,1,0,0,1,0,832421,816543,中西區,Central and Western,*,106.0395794
8,1,8,https://hk.centanet.com/findproperty/centadata-details/%E6%A1%82%E6%9E%97%E8%A1%9738E%E8%99%9F_2-MXLDTHZEHX,桂林街38E號,2760,22.3306,114.16166,NO SPECIFIC NAME,沒有名稱,0,1742.4,245.4,1987.8,8,67,14590,0.05,0,2,1,1,0,834701,821283,深水埗區,Sham Shui Po,***,32.98460162
9,1,9,https://hk.centanet.com/findproperty/centadata-details/%E5%90%B3%E6%9D%BE%E8%A1%9798%E8%99%9F_2-MMMDIHLSHN,吳松街98號,2936,22.30604,114.17045,NO SPECIFIC NAME,沒有名稱,0,1016.6,117,1133.6,10,61,18740,0.05,0,2,1,1,0,835606,818564,油尖旺區,Yau Tsim Mong,***,37.39211747
10,1,10,https://hk.centanet.com/findproperty/centadata-details/%E7%8E%89%E6%BB%BF%E6%A8%93_2-TDHLZHTAHM,玉滿樓,2977,22.27757,114.17496,JADE HOUSE,玉滿樓,0,3198,919.5,4117.5,16,57,19500,0.2,1,0,0,1,0,836069,815418,灣仔區,Wan Chai,*,67.51202428
11,1,11,https://hk.centanet.com/findproperty/centadata-details/%E5%8D%97%E6%98%8C%E9%96%A3_2-MXTTZHNVHX,南昌閣,3083,22.32945,114.16317,NAM CHEONG COURT,南昌閣,0,1818,139.1,1957.1,12,57,12460,0.05,1,0,1,1,0,834859,821155,深水埗區,Sham Shui Po,*,52.19528436
12,1,12,https://hk.centanet.com/findproperty/centadata-details/%E6%A1%82%E6%9E%97%E5%A4%A7%E5%BB%88_2-MXXHTHZAHX,桂林大廈,3704,22.32825,114.15958,KWEILIN MANSION,桂林大廈,0,1653.6,382.7,2036.3,8,48,16270,0.4,0,0,1,1,0,834480,821024,深水埗區,Sham Shui Po,*,76.23114839
13,2,13,https://hk.centanet.com/findproperty/centadata-details/%E5%8D%97%E7%81%A3%E5%A4%A7%E5%BB%88_2-UDFVQRVXRJ,南灣大廈,3838,22.2283,114.20043,SOUTH BAY TOWER,南灣大廈,95,17997.2,0,17997.2,29,40,149500,5,1,0,0,0,0,838694,809944,南區,Southern,*,168.5370836
14,1,14,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%AA%E5%B9%B3%E9%82%A8_2-GEPPWPPAPD,太平邨,3846,22.49842,114.12629,PING CHI HOUSE,平治樓,83,21512.2,882.1,22394.3,27,35,21540,0.7,1,0,0,1,1,831062,839872,北區,North,*,188.3108371
15,1,15,https://hk.centanet.com/findproperty/centadata-details/%E7%BE%8E%E6%96%B0%E5%A4%A7%E5%BB%88_2-SSPPGPYYPS,美新大廈,3861,22.28359,114.12784,MAY SUN BUILDING,美新大廈,0,6710,610,7320,12,60,45490,0.3,1,1,0,1,0,831217,816082,中西區,Central and Western,**,141.6089463
16,1,16,https://hk.centanet.com/findproperty/centadata-details/%E5%B3%B0%E8%8F%AF%E9%82%A8_2-SGPPWPPJPB,峰華邨,3872,22.26111,114.23147,SAU FUNG HOUSE,秀峰樓,0,31355,368,31723,36,33,23990,0.8,1,0,0,0,1,841916,813570,東區,Eastern,*,185.0356166
17,2,17,https://hk.centanet.com/findproperty/centadata-details/%E8%81%AF%E5%BC%B7%E5%A4%A7%E5%BB%88_2-MXNDZHZJHX,聯強大廈,3922,22.27957,114.22993,TUNG KEUNG BUILDING,東強大廈,134,4564.3,442.5,5006.8,26,45,32100,0.05,1,0,0,1,0,841736,815633,東區,Eastern,*,78.54747047
18,2,18,https://hk.centanet.com/findproperty/centadata-details/%E5%AF%B6%E5%BA%B7%E5%A4%A7%E5%BB%88_2-XLIIIHZXHT,寶康大廈,3976,22.4474,114.16577,PO HONG BUILDING - PODIUM,寶康大廈 - 平台,40,1407.6,579.5,1987.1,3,33,14500,0.7,1,0,0,1,0,835127,834216,大埔區,Tai Po,*,55.45515021
19,1,19,https://hk.centanet.com/findproperty/centadata-details/%E7%94%B0%E6%99%AF%E9%82%A8_2-KEPPWPPVPA,田景邨,4075,22.40666,113.96505,LEUNG TIN INDOOR SPORTS CENTRE,良田體育館,0,0,18223.2,18223.2,4,0,25000,0.1,1,0,0,0,1,0,0,屯門區,Tuen Mun, ,410.8898659
20,1,20,https://hk.centanet.com/findproperty/centadata-details/%E5%9F%BA%E9%9A%86%E8%A1%97222%E8%99%9F_2-UDDJQRQSRD,基隆街222號,4103,22.32883,114.16226,NO SPECIFIC NAME,沒有名稱,0,1192.9,152.7,1345.6,10,62,17550,0.05,0,1,1,0,0,834761,821088,深水埗區,Sham Shui Po,**,47.28731962
21,1,21,https://hk.centanet.com/findproperty/centadata-details/%E9%87%8D%E6%85%B6%E5%A4%A7%E5%BB%88_2-ESDAGPYRPK,重慶大廈,4121,22.29638,114.1728,CHUNGKING MANSIONS - PODIUM,重慶大廈 - 平台,0,31557.6,26869.1,58426.7,3,63,21000,0.05,1,0,0,1,0,835817,817504,油尖旺區,Yau Tsim Mong,*,303.0245283
22,1,22,https://hk.centanet.com/findproperty/centadata-details/%E6%B1%9D%E5%B7%9E%E8%A1%97280-286A%E8%99%9F_2-EGSKWPWAPG,汝州街280-286A號,4261,22.33078,114.16062,NO SPECIFIC NAME,永泰樓,0,3938,520,4458,10,60,13750,0.05,0,0,1,0,0,834593,821304,深水埗區,Sham Shui Po,*,85.22431151
23,1,23,https://hk.centanet.com/findproperty/centadata-details/%E6%B8%85%E9%A2%A8%E8%A1%9719%E8%99%9F_2-SBWYPPYJPS,清風街19號,4311,22.28493,114.19242,NO SPECIFIC NAME,沒有名稱,0,1353.6,168.6,1522.2,10,59,23660,0.2,0,0,0,1,0,0,0,東區,Eastern, ,47.11644588
24,2,24,https://hk.centanet.com/findproperty/centadata-details/%E5%B9%B8%E7%A6%8F%E6%A8%93_2-BWBEPPKXPS,幸福樓,4630,22.44664,114.0212,HING FOOK BUILDING-PHASE 1 BLOCK A,幸福樓一期,0,4498.2,1813.2,6311.4,6,49,21750,0.4,0,1,0,0,0,820250,834140,元朗區,Yuen Long,**,45.60971672
25,2,25,https://hk.centanet.com/findproperty/centadata-details/%E7%A5%A5%E8%8F%AF%E9%82%A8_2-GESPWPPXPB,祥華邨,4642,22.49319,114.14113,CHEUNG WAH ESTATE - PODIUM,祥華邨 - 平台,473,19986,1635.1,21621.1,3,40,18500,0.5,1,0,0,1,1,832521,839344,北區,North,*,620.2660789
26,1,26,https://hk.centanet.com/findproperty/centadata-details/%E5%8F%8B%E6%88%90%E5%A4%A7%E6%A8%93_2-QUJOQRRYRD,友成大樓,4667,22.36871,114.13362,YAU SHING BUILDING,友成樓,0,1511.6,319.6,1831.2,6,57,17800,0.7,0,1,1,1,0,831815,825510,葵青區,Kwai Tsing,**,72.41714458
27,3,27,https://hk.centanet.com/findproperty/centadata-details/%E8%88%88%E7%94%B0%E9%82%A8_2-EWPPWPPEPD,興田邨,4734,22.31323,114.23948,CHOI TIN HOUSE,彩田樓,0,39030.9,333.9,39364.8,35,37,22490,1.5,1,0,0,1,1,842703,819366,觀塘區,Kwun Tong,*,257.269959
28,1,28,https://hk.centanet.com/findproperty/centadata-details/%E9%9D%92%E5%B1%B1%E9%81%93380-384%E8%99%9F_2-MXTTTHDAHZ,青山道380-384號,4757,22.33963,114.15505,NO SPECIFIC NAME,沒有名稱,0,1596.1,195.7,1791.8,9,66,20000,0.4,0,1,0,1,0,834020,822285,深水埗區,Sham Shui Po,**,62.93001357
29,2,29,https://hk.centanet.com/findproperty/centadata-details/%E7%BF%A0%E5%B1%8F(%E5%8C%97)%E9%82%A8_2-EWPPWPPEPK,翠屏(北)邨,4814,22.31655,114.2295,TSUI PING SHOPPING CIRCUIT,翠屏商場,0,0,5076,5076,3,0,15000,0.9,0,0,0,1,1,0,0,觀塘區,Kwun Tong, ,192.3289537
30,1,30,https://hk.centanet.com/findproperty/centadata-details/%E5%BE%B7%E7%94%B0%E9%82%A8_2-EWPPWPPJPD,德田邨,4866,22.31029,114.23795,TAK TIN PLAZA,德田廣場,0,0,8844.4,8844.4,4,33,17900,0.6,1,0,0,0,1,0,0,觀塘區,Kwun Tong, ,323.561743
31,1,31,https://hk.centanet.com/findproperty/centadata-details/%E8%8F%AF%E6%98%8E%E9%82%A8_2-GEPPWPPJPY,華明邨,5002,22.484,114.14112,WAH MING COMMERCIAL CENTRE,華明商業中心,0,0,8009.6,8009.6,3,34,21600,1.5,1,0,0,1,1,0,0,北區,North, ,323.4140774
32,1,32,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%A9%E5%B9%B3%E9%82%A8_2-GEPPWPPYPK,天平邨,5034,22.5039,114.1328,TIN PING MANAGEMENT OFFICE,天平邨管業處,0,0,406,406,1,22,21000,0.8,0,0,0,0,1,0,0,北區,North, ,79.10634945
33,1,33,https://hk.centanet.com/findproperty/centadata-details/%E7%AB%B9%E5%9C%92%E5%8C%97%E9%82%A8_2-EYPPWPPRPS,竹園北邨,5034,22.34649,114.19402,CHEUNG YUEN HOUSE,橡園樓,0,45150,1254.4,46404.4,36,37,21590,1.5,1,0,0,1,1,838046,823043,黃大仙區,Wong Tai Sin,*,248.7787228
34,1,34,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%AA%E5%AD%90%E9%81%93%E8%A5%BF81%E8%99%9F_2-UUCJFRDRRO,太子道西81號,5113,22.32324,114.16538,NO SPECIFIC NAME,沒有名稱,0,1658.9,172.7,1831.6,10,64,16200,0.4,0,1,1,0,0,835084,820468,油尖旺區,Yau Tsim Mong,**,63.23739591
35,2,35,https://hk.centanet.com/findproperty/centadata-details/%E5%BB%BA%E6%B3%B0%E6%A8%93_2-MLMZIHIEHZ,建泰樓,5132,22.31786,114.22615,KIN TAI HOUSE,建泰樓,0,3175.6,1218.7,4394.3,9,55,15370,0.8,0,1,0,1,0,841341,819872,觀塘區,Kwun Tong,**,139.9401815
36,1,36,https://hk.centanet.com/findproperty/centadata-details/%E8%8D%94%E6%9E%9D%E8%A7%92%E9%81%93271%E8%99%9F_2-UDVOQRSYRD,荔枝角道271號,5174,22.32775,114.16118,NO SPECIFIC NAME,沒有名稱,0,1207,170.4,1377.4,9,64,15310,0.3,0,0,1,1,0,0,0,深水埗區,Sham Shui Po, ,51.07736191
37,1,37,https://hk.centanet.com/findproperty/centadata-details/%E9%9D%92%E5%B1%B1%E5%85%AC%E8%B7%AF%E5%85%83%E6%9C%97%E6%AE%B588%E8%99%9F_2-VCDFURRARO,青山公路元朗段88號,5209,22.44426,114.0297,NO SPECIFIC NAME,沒有名稱,0,939.7,262,1201.7,8,57,24200,0.05,0,0,0,0,0,821118,833878,元朗區,Yuen Long,*,52.67644278
38,1,38,https://hk.centanet.com/findproperty/centadata-details/%E6%A6%AE%E8%BC%9D%E4%B8%AD%E5%BF%83_2-NISZZHXEHD,榮輝中心,5226,22.5015,114.14234,WING FAI CENTRE TOWER 1,榮輝中心第１座,1350,77160.6,0,77160.6,34,28,30000,1.5,1,0,0,0,1,832713,840210,北區,North,*,172.2569732
39,1,39,https://hk.centanet.com/findproperty/centadata-details/%E5%92%8C%E6%B3%B0%E8%A1%9719%E8%99%9F_2-VFRRFRFXRO,和泰街19號,5230,22.49918,114.14162,NO SPECIFIC NAME,沒有名稱,62,4333.8,2017.3,6351.1,6,55,15340,0.9,0,0,1,0,0,0,0,北區,North, ,45.29223688
40,1,40,https://hk.centanet.com/findproperty/centadata-details/%E5%BB%A3%E8%B1%90%E6%A8%93_2-UDDFFRSSRJ,廣豐樓,5272,22.32639,114.16107,KWONG FUNG HOUSE,廣豐樓,0,2243.4,156.3,2399.7,13,60,15630,0.5,0,1,1,1,0,834644,820816,深水埗區,Sham Shui Po,**,53.23942314
41,1,41,https://hk.centanet.com/findproperty/centadata-details/%E9%9D%92%E8%A1%A3%E9%82%A8_2-ABPPWPPRPP,青衣邨,5374,22.35398,114.10336,TSING YI ESTATE (MULTI-STOREY CARPARK),青衣邨 （多層停車場）,0,0,5356.7,5356.7,4,38,22650,3.5,0,0,0,1,1,0,0,葵青區,Kwai Tsing, ,151.5473226
42,1,42,https://hk.centanet.com/findproperty/centadata-details/%E5%85%83%E5%B7%9E%E8%A1%97130%E8%99%9F_2-MXDMIHSJHZ,元州街130號,5395,22.33416,114.16117,NO SPECIFIC NAME,沒有名稱,0,1011.8,180,1191.8,7,60,27600,0.4,0,0,0,0,0,0,0,深水埗區,Sham Shui Po, ,52.39359629
43,1,43,https://hk.centanet.com/findproperty/centadata-details/%E6%87%B7%E7%BE%A9%E8%A1%977%E8%99%9F_2-GWBDPPYXPS,懷義街7號,5435,22.44784,114.16551,NO SPECIFIC NAME,沒有名稱,0,997.7,519.2,1516.9,6,53,14270,0.7,0,0,1,0,0,0,0,大埔區,Tai Po, ,45.80974272
44,2,44,https://hk.centanet.com/findproperty/centadata-details/%E9%91%BD%E7%9F%B3%E6%A8%93_2-EGKWBPBAPG,鑽石樓,5445,22.33378,114.20917,TSUEN SHEK HOUSE,鑽石樓,0,7208,865,8073,8,54,15390,0.05,1,0,0,0,1,839595,821637,觀塘區,Kwun Tong,*,186.3139685
45,2,45,https://hk.centanet.com/findproperty/centadata-details/%E9%B4%BB%E9%81%8B%E6%A8%93_2-BWKKWPKYPS,鴻運樓,5450,22.36778,114.13488,HUNG WAN BUILDING,鴻運樓,0,1151.1,563.5,1714.6,6,54,20000,0.9,0,2,0,0,0,831934,825408,葵青區,Kwai Tsing,***,93.53542445
46,2,46,https://hk.centanet.com/findproperty/centadata-details/%E6%98%8C%E5%B9%B4%E5%A4%A7%E5%BB%88_2-QUQRURQXRD,昌年大廈,5523,22.36789,114.13354,CHEONG NIN BUILDING,昌年大廈,0,2541.3,3575,6116.3,10,52,17800,0.7,1,1,1,1,0,831808,825409,葵青區,Kwai Tsing,**,127.728592
47,1,47,https://hk.centanet.com/findproperty/centadata-details/%E7%AA%A9%E6%89%93%E8%80%81%E9%81%933B%E8%99%9F_2-UUCSFRCXRF,窩打老道3B號,5536,22.31302,114.16957,NO SPECIFIC NAME,沒有名稱,0,2990.1,337.1,3327.2,9,61,21840,0.05,0,2,1,1,0,835517,819333,油尖旺區,Yau Tsim Mong,***,99.84761715
48,1,48,https://hk.centanet.com/findproperty/centadata-details/%E6%98%8E%E5%BE%B7%E5%A4%A7%E5%BB%88_2-MXSSIHZXHX,明德大廈,5562,22.27855,114.17495,LAP TAK BUILDING,立德大廈,0,6531,1820.5,8351.5,14,56,18380,0.2,1,0,0,0,0,836072,815516,灣仔區,Wan Chai,*,109.1112351
49,1,49,https://hk.centanet.com/findproperty/centadata-details/%E5%AE%89%E7%9B%9B%E8%8B%91_2-BDSPGPAXPA,安盛苑,5612,22.50238,114.13504,ON SHING COURT,安盛苑,612,42249.7,205.2,42454.9,35,35,21000,1.5,1,0,0,1,0,831957,840311,北區,North,*,186.4992857
50,1,50,https://hk.centanet.com/findproperty/centadata-details/%E7%91%9E%E5%AF%A7%E6%A8%93_2-UCJOFRJARS,瑞寧樓,5618,22.31724,114.22448,SHUI NING HOUSE,瑞寧樓,0,13495.7,2559.8,16055.5,10,55,16490,1,1,2,0,1,0,841152,819811,觀塘區,Kwun Tong,***,212.8272318
51,1,51,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%A7%E5%8D%97%E8%A1%97267%E8%99%9F_2-EGPWGPGRPG,大南街267號,5645,22.32832,114.16157,NO SPECIFIC NAME,沒有名稱,0,1264,150,1414,9,63,13500,0.2,0,0,1,0,0,0,0,深水埗區,Sham Shui Po, ,43.60253279
52,1,52,https://hk.centanet.com/findproperty/centadata-details/%E4%B8%8A%E6%B5%B7%E8%A1%97192%E8%99%9F_2-MMSLIHXAHN,上海街192號,5705,22.30766,114.16997,NO SPECIFIC NAME,沒有名稱,0,583.9,326.4,910.3,9,58,18740,0.4,0,1,1,0,0,835557,818744,油尖旺區,Yau Tsim Mong,**,35.83220631
53,1,53,https://hk.centanet.com/findproperty/centadata-details/%E5%85%89%E8%BC%9D%E6%A8%93_2-QUQQFRCXRJ,光輝樓,5707,22.36973,114.1392,KWONG FAI BUILDING - PODIUM,光輝樓 - 平台,0,1410.9,1826.4,3237.3,1,52,18800,1.5,0,1,1,1,0,832388,825625,葵青區,Kwai Tsing,**,103.6289964
54,1,54,https://hk.centanet.com/findproperty/centadata-details/%E9%BB%83%E5%A4%A7%E4%BB%99%E4%B8%8B%E9%82%A8(%E4%B8%80%E5%8D%80)_2-EYPPWPPJPA,黃大仙下邨(一區),5759,22.3383,114.19538,LUNG CHAK HOUSE,龍澤樓,0,18104.6,338.9,18443.5,28,33,15960,0.5,1,0,0,1,1,838172,822140,黃大仙區,Wong Tai Sin,*,182.736836
55,1,55,https://hk.centanet.com/findproperty/centadata-details/%E6%9D%B1%E9%A0%AD(%E4%BA%8C)%E9%82%A8_2-EYPPWPPEPA,東頭(二)邨,5762,22.33661,114.19334,TUNG TAU (II) ESTATE RCP,東頭（二）邨垃圾站,0,0,96,96,1,0,15750,0.7,0,0,0,0,1,0,0,黃大仙區,Wong Tai Sin, ,40.23963215
56,1,56,https://hk.centanet.com/findproperty/centadata-details/%E5%BB%BA%E6%96%B0%E5%A4%A7%E5%BB%88_2-EGYYPPKVPG,建新大廈,5770,22.33284,114.16326,KIN SUN BUILDING,建新大廈,0,3708.6,432,4140.6,12,61,17550,0.2,1,0,0,1,0,834867,821529,深水埗區,Sham Shui Po,*,77.67996263
57,1,57,https://hk.centanet.com/findproperty/centadata-details/%E9%95%B7%E5%AE%89%E9%82%A8_2-ABPPWPPJPS,長安邨,5774,22.36161,114.10041,CHEUNG ON ESTATE - ON HOI HOUSE,安海樓,816,42500,886.4,43386.4,35,37,23740,4.5,1,0,0,1,1,828386,824719,葵青區,Kwai Tsing,*,256.7394825
58,2,58,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%A9%E7%A5%90%E8%8B%91_2-BSPPPPBJPP,天祐苑,5816,22.45081,114.00593,TIN YAU COURT YAU HONG HOUSE,天祐苑 祐康閣,0,132056,1987.4,134043.4,40,32,20180,0.2,1,0,0,0,1,818677,834605,元朗區,Yuen Long,*,336.9451207
59,1,59,https://hk.centanet.com/findproperty/centadata-details/%E5%9D%AA%E9%BA%97%E8%8B%91_2-CJRRQRSXRD,坪麗苑,5888,22.28631,114.03665,PENG LAI COURT,坪麗苑,1,14010,54.8,14064.8,6,47,16000,0,1,0,0,1,0,821836,816398,離島區,Islands,*,509.7602153
60,1,60,https://hk.centanet.com/findproperty/centadata-details/%E8%8F%AF%E7%99%BC%E5%A4%A7%E6%A8%93_2-MLHZTHIVHZ,華發大樓,5893,22.31661,114.22301,WAH FAT BUILDING,華發大樓,0,9466.9,1160,10626.9,10,61,16100,0.6,0,0,0,0,0,0,0,觀塘區,Kwun Tong, ,31.53744324
61,1,61,https://hk.centanet.com/findproperty/centadata-details/%E6%A6%AE%E8%8F%AF%E6%A8%93_2-EWPYPPPRPP,榮華樓,5902,22.2782,114.22895,WING WAH BUILDING,榮華樓,15,457.2,171.5,628.7,6,44,25000,0.05,0,0,0,1,0,841634,815477,東區,Eastern,*,52.51304042
62,1,62,https://hk.centanet.com/findproperty/centadata-details/%E9%B4%BB%E6%98%8C%E6%A8%93_2-EWYAWPGVPK,鴻昌樓,5916,22.44823,114.16581,HUNG CHEONG BUILDING,鴻昌樓,0,508,242.9,750.9,6,48,14270,0.8,0,0,1,1,0,0,0,大埔區,Tai Po, ,40.61490524
63,1,63,https://hk.centanet.com/findproperty/centadata-details/%E8%8F%AF%E8%B2%B4%E9%82%A8_2-SDPPWPPJPE,華貴邨,5926,22.25026,114.13808,HOME AFFAIRS DEPARTMENT WAH  KWAI COMMUNITY CENTRE,民政事務總署華貴社區中心,0,9.5,3900,3909.5,6,34,21800,3,1,0,0,0,1,0,0,南區,Southern, ,115.0531495
64,1,64,https://hk.centanet.com/findproperty/centadata-details/%E6%A6%AE%E8%A8%98%E5%A4%A7%E6%A8%93_2-MMDXTHNJHN,榮記大樓,5929,22.31684,114.17068,CHEONG KEE HOUSE,昌記大廈,0,2538.7,491.9,3030.6,12,63,19640,0.3,1,1,1,1,0,835626,819760,油尖旺區,Yau Tsim Mong,**,66.41013288
65,1,65,https://hk.centanet.com/findproperty/centadata-details/%E5%95%9F%E6%B3%B0%E8%8B%91_2-UFFVURSYRR,啟泰苑,5971,22.32807,114.21049,KAI PONG HOUSE,啓邦閣,0,38937.6,64.4,39002,20,42,31000,1,1,0,0,0,0,839724,821011,觀塘區,Kwun Tong,*,166.4922883
66,1,66,https://hk.centanet.com/findproperty/centadata-details/%E9%B5%AC%E7%A8%8B%E8%A1%979%E8%99%9F_2-EKDWWPGJPE,鵬程街9號,6008,22.32129,114.19219,NO SPECIFIC NAME,沒有名稱,0,1501.3,172.2,1673.5,8,65,16800,0.7,0,0,0,0,0,0,0,九龍城區,Kowloon City, ,29.77267903
67,1,67,https://hk.centanet.com/findproperty/centadata-details/%E5%88%A9%E6%9D%B1%E9%82%A8_2-SDPPWPPAPK,利東邨,6009,22.24167,114.15458,LEI TUNG CAR PARK NO.1,利東停車場1號,0,0,7418,7418,4,36,19900,0.2,1,0,0,1,1,0,0,南區,Southern, ,173.0622328
68,1,68,https://hk.centanet.com/findproperty/centadata-details/%E4%BB%81%E5%BE%B7%E5%A4%A7%E5%BB%88_2-TNMLZHHSHD,仁德大廈,6030,22.29158,114.19835,YEN DACK BUILDING,仁德大廈,0,14404,971,15375,20,60,17720,0.2,1,2,1,1,0,838505,816972,東區,Eastern,***,144.07096
69,1,69,https://hk.centanet.com/findproperty/centadata-details/%E6%81%86%E5%AE%89%E5%A4%A7%E6%A8%93_2-UUCRFRDYRU,恆安大樓,6036,22.3254,114.16857,HANG ON BUILDING,恒安大樓,0,6647,663,7310,12,62,20000,0.05,0,2,0,0,0,835411,820709,油尖旺區,Yau Tsim Mong,***,45.31660002
70,1,70,https://hk.centanet.com/findproperty/centadata-details/%E5%8D%97%E9%A0%AD%E8%A1%9711%E8%99%9F_2-EEEABPERPW,南頭街11號,6074,22.31814,114.16686,NO SPECIFIC NAME,沒有名稱,0,655,137.4,792.4,7,63,14000,0.2,0,1,0,1,0,835237,819906,油尖旺區,Yau Tsim Mong,**,37.71640954
71,2,71,https://hk.centanet.com/findproperty/centadata-details/%E7%BE%8E%E9%BA%97%E9%83%BD%E5%A4%A7%E5%BB%88_2-MTINIHSXHZ,美麗都大廈,6090,22.29734,114.17261,MIRADOR MANSION,美麗都大廈,0,37625,18480,56105,18,65,19500,0.05,1,2,0,1,0,835826,817623,油尖旺區,Yau Tsim Mong,***,238.7519527
72,1,72,https://hk.centanet.com/findproperty/centadata-details/%E6%AC%A3%E7%9B%9B%E8%8B%91_2-VJROQRFVRQ,欣盛苑,6118,22.48656,114.14027,YAN SAU HOUSE,欣秀閣,350,22328.1,0,22328.1,36,31,29540,0.7,1,0,0,0,1,832503,838558,北區,North,*,187.2832047
73,1,73,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%A7%E5%8D%97%E8%A1%9770%E8%99%9F_2-EEPSWPYXPS,大南街70號,6129,22.32509,114.16623,NO SPECIFIC NAME,沒有名稱,0,1085,286,1371,9,61,12790,0.2,0,0,0,0,0,0,0,油尖旺區,Yau Tsim Mong, ,44.75224674
74,1,74,https://hk.centanet.com/findproperty/centadata-details/%E9%A1%AF%E6%98%8E%E8%8B%91_2-DJURUROYRQ,顯明苑,6148,22.31569,114.26864,HIN MING COURT,顯明苑,0,47831.7,1258.7,49090.4,39,28,25700,0.6,1,0,0,1,1,845734,819626,西貢區,Sai Kung,*,244.3099191
75,2,75,https://hk.centanet.com/findproperty/centadata-details/%E5%BA%B7%E5%88%A9%E4%B8%AD%E5%BF%83_2-NXLIIHSHHT,康利中心,6158,22.39763,113.97518,HONELEY COURT,康利中心,0,5299,2158.2,7457.2,22,39,18080,0.2,1,0,0,1,0,815500,828721,屯門區,Tuen Mun,*,113.6773712
76,3,76,https://hk.centanet.com/findproperty/centadata-details/%E6%A8%82%E7%BF%A0%E8%87%BA_2-SGYGWPWYPA,樂翠臺,6166,22.27285,114.18616,VILLA ROCHA BLOCK A,樂翠台A座,248,28657.1,0,28657.1,36,36,101200,1,1,0,0,1,0,837223,814890,灣仔區,Wan Chai,*,136.1808479
77,1,77,https://hk.centanet.com/findproperty/centadata-details/%E8%AD%9A%E5%85%AC%E9%81%9387%E8%99%9F_2-EKWPBPYYPS,譚公道87號,6167,22.32313,114.18855,NO SPECIFIC NAME,沒有名稱,0,1096,137,1233,8,66,17460,0.6,0,0,1,0,0,0,0,九龍城區,Kowloon City, ,44.80125512
78,1,78,https://hk.centanet.com/findproperty/centadata-details/%E7%93%8A%E5%B1%B1%E8%8B%91_2-UFOQQRUERF,瓊山苑,6174,22.34209,114.2106,KING FUNG HOUSE,瓊峯閣 Ａ座,0,14407.8,0,14407.8,34,42,31050,1.5,1,0,0,1,1,839742,822557,黃大仙區,Wong Tai Sin,*,125.243963
