OBJECTID,Join_Count,TARGET_FID,url,building,PerSqFeet,lat,lon,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,Shape_Leng
351,1,351,https://hk.centanet.com/findproperty/centadata-details/%E8%90%AC%E7%A6%8F%E5%A4%A7%E5%BB%88_2-UCQFFRCERS,萬福大廈,8634,22.31327,114.22866,MAN FUK BUILDING,萬福大廈,0,15620.6,0,15620.6,15,54,27550,0.5,1,0,0,1,0,841614,819370,觀塘區,Kwun Tong,*,373.8578043
352,2,352,https://hk.centanet.com/findproperty/centadata-details/%E5%98%89%E6%B9%96%E5%B1%B1%E8%8E%8A_3-VOOFFRFARR,嘉湖山莊,8642,22.45208,114.00049,KINGSWOOD RICHLY PLAZA,嘉湖新北江商場,0,0,23587.9,23587.9,3,32,28940,0.3,1,0,0,0,1,0,0,元朗區,Yuen Long, ,522.0648682
353,2,353,https://hk.centanet.com/findproperty/centadata-details/%E9%BB%83%E5%9F%94%E5%94%90%E6%A8%93_2-USDCURVYRV,黃埔唐樓,8642,22.30669,114.18572,WHAMPOA BUILDING BLOCK A,黃埔唐樓Ａ座,0,22205.5,1986.4,24191.9,16,58,17290,0.3,1,1,0,0,0,837174,818628,九龍城區,Kowloon City,**,146.8770931
354,2,354,https://hk.centanet.com/findproperty/centadata-details/%E6%B5%AA%E7%BF%A0%E5%9C%92_3-AKPPGPGHPP,浪翠園,8644,22.36578,114.05525,SEA CREST VILLA PHASE II BLOCK 6,浪翠園二期第６座,224,19616.8,1269.5,20886.3,34,30,47700,0,1,0,0,0,1,823741,825184,荃灣區,Tsuen Wan,*,128.4969948
355,2,355,https://hk.centanet.com/findproperty/centadata-details/%E8%94%9A%E7%BF%A0%E8%8A%B1%E5%9C%92_2-BDWBGPEVPA,蔚翠花園,8645,22.49593,114.13291,Greenpark Villa - PODIUM,蔚翠花園 - 平台,552,41755.1,130.9,41886,2,31,43000,1.5,1,0,0,1,0,831737,839524,北區,North,*,580.046229
356,1,356,https://hk.centanet.com/findproperty/centadata-details/%E7%BE%8E%E6%96%B0%E5%A4%A7%E5%BB%88_2-GWBDBPEXPS,美新大廈,8647,22.28359,114.12784,MAY SUN BUILDING,美新大廈,0,6710,610,7320,12,60,45490,0.3,1,1,0,1,0,831217,816082,中西區,Central and Western,**,141.6089463
357,1,357,https://hk.centanet.com/findproperty/centadata-details/%E5%AE%8F%E8%B1%90%E5%A4%A7%E5%BB%88_2-NLNTZHHXHT,宏豐大廈,8649,22.315,114.18888,WONG FUNG BUILDING - PODIUM,宏豐大廈 - 平台,0,6356.2,1819.7,8175.9,2,51,30000,0.1,1,0,0,1,0,837492,819562,九龍城區,Kowloon City,*,140.2627167
358,2,358,https://hk.centanet.com/findproperty/centadata-details/%E5%83%91%E8%A3%95%E5%A4%A7%E6%A8%93_2-USOQQRSRRU,僑裕大樓,8658,22.29215,114.19758,GAIN YU BUILDING,橋裕大廈,60,3540.6,1484.2,5024.8,23,36,27490,0.3,1,0,0,1,0,838402,817025,東區,Eastern,*,73.47554983
359,1,359,https://hk.centanet.com/findproperty/centadata-details/%E5%98%89%E8%B1%90%E8%8A%B1%E5%9C%92_2-DEPPPPBJPE,嘉豐花園,8663,22.46417,114.19556,RICHWOOD PARK COMMERICAL COMPLEX,嘉豐花園商場,0,0,1725,1725,2,30,65000,5,1,0,0,1,0,0,0,大埔區,Tai Po, ,120.0776287
360,2,360,https://hk.centanet.com/findproperty/centadata-details/%E5%AF%8C%E5%BC%B7%E8%8B%91_2-UFCVFRRHRU,富強苑,8666,22.33935,114.18608,TAK YIN HOUSE,德賢閣,0,45105.8,15375,60480.8,36,26,20490,0.4,1,0,0,1,0,837216,822249,黃大仙區,Wong Tai Sin,*,149.4114706
