OID_,SampleBuilding,Area,PerSqFeet,lat,long,CSU_ID,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
11,翠華大廈 1座,884,9615,22.321629999999999,114.179220000000001,3651020291T20050430,MANDARIN COURT BLOCK 1,翠華大廈第１座,0,5790.500000000000000,0,5790.500000000000000,12,66,87000,1.000000000000000,1,0,0,1,0,836510,820291,九龍城區,Kowloon City,*
12,長發大廈,511,8571,22.338159999999998,114.156090000000006,3412722122T20050430,CHEUNG FAT MANSION,長發大廈,0,3515.500000000000000,305.600000000000023,3821.099999999999909,9,66,19000,0.4,0,0,1,0,0,0,0,深水埗區,Sham Shui Po, 
13,星華大廈,607,14003,22.277429999999999,114.183290000000000,3692415401T20050430,STARLIGHT HOUSE,星華大廈,0,4025.699999999999818,293.500000000000000,4319.199999999999818,12,66,50000,0.3,1,0,0,1,0,836924,815401,灣仔區,Wan Chai,*
14,美滿大廈,698,12893,22.325099999999999,114.178049999999999,3638620675T20050430,MAY MOON HOUSE,美滿大廈,0,2857.300000000000182,110.000000000000000,2967.300000000000182,13,65,84160,1.000000000000000,1,0,0,1,0,836386,820675,九龍城區,Kowloon City,*
15,康寧大廈,780,10256,22.316109999999998,114.223269999999999,4104819678T20050430,HONG NING BUILDING,康寧大廈,0,8823.899999999999636,1293.000000000000000,10116.899999999999636,11,61,17100,0.6,0,2,1,0,0,841048,819678,觀塘區,Kwun Tong,***
16,加路連大樓,492,15447,22.277580000000000,114.186530000000005,3725615410T20050430,Caroline Hill Court,加路連大樓,0,8718.100000000000364,646.100000000000023,9364.200000000000728,13,65,19000,0.4,1,0,0,1,0,837256,815410,灣仔區,Wan Chai,*
17,美麗都大廈 D座,1044,8888,22.297339999999998,114.172610000000006,3585617595P20050810,MIRADOR MANSION,美麗都大廈,0,37625.000000000000000,18480.000000000000000,56105.000000000000000,18,65,19500,0.05,1,2,0,1,0,835826,817623,油尖旺區,Yau Tsim Mong,***
18,統一大廈 A座,1390,7194,22.305759999999999,114.169110000000003,3547418532T20050430,UNITED MANSION BLOCK A,統一大廈Ａ座,0,7465.000000000000000,1543.000000000000000,9008.000000000000000,16,66,16640,0.2,1,2,1,1,0,835474,818532,油尖旺區,Yau Tsim Mong,***
19,禮加大樓,541,11090,22.277390000000000,114.186769999999996,3728815390T20050430,Lei Kwa Court,禮加大樓,0,3988.500000000000000,297.600000000000023,4286.100000000000364,13,65,19000,0.4,1,0,0,1,0,837288,815390,灣仔區,Wan Chai,*
20,加路連大樓,572,11013,22.277580000000000,114.186530000000005,3725615410T20050430,Caroline Hill Court,加路連大樓,0,8718.100000000000364,646.100000000000023,9364.200000000000728,13,65,19000,0.4,1,0,0,1,0,837256,815410,灣仔區,Wan Chai,*
21,華納大廈,703,11351,22.281820000000000,114.184759999999997,3709415889T20050430,VIENNA MANSION,華納大廈,0,5523.000000000000000,753.000000000000000,6276.000000000000000,12,66,42250,0.2,1,0,0,1,0,837094,815889,灣仔區,Wan Chai,*
22,金殿大廈,978,10224,22.283329999999999,114.191900000000004,3781616050P20060312,GOLDEN COURT,金殿大廈,0,9535.000000000000000,2377.000000000000000,11912.000000000000000,12,66,35350,0.05,1,0,0,1,0,837816,816026,東區,Eastern,*
23,禮林大廈,625,9280,22.280339999999999,114.223969999999994,4112315728T20050430,LAI LAM BUILDING,禮林大廈,0,2598.800000000000182,218.000000000000000,2816.800000000000182,11,66,25000,0.2,1,0,0,1,0,841123,815728,東區,Eastern,*
24,榮華大樓,598,10000,22.317380000000000,114.170569999999998,3561519817T20050430,WING WAH BUILDING,榮華大樓,0,5020.000000000000000,4135.000000000000000,9155.000000000000000,12,65,19640,0.2,1,1,1,1,0,835615,819817,油尖旺區,Yau Tsim Mong,**
25,皇冠大廈,590,9627,22.290700000000001,114.196470000000005,3828916857T20050430,CORONET COURT,皇冠大廈,0,12025.799999999999272,1436.099999999999909,13461.899999999999636,15,66,19800,0.4,1,2,0,1,0,838289,816857,東區,Eastern,***
26,樂群大廈,636,8647,22.279740000000000,114.225449999999995,4127715661T20050430,LOK KWAN HOUSE,樂群大廈,0,5867.000000000000000,494.000000000000000,6361.000000000000000,12,66,32000,0.4,1,1,0,1,0,841277,815661,東區,Eastern,**
27,金巴利大廈,859,6984,22.300450000000001,114.174750000000003,3605017944T20050430,KIMLEY HOUSE,金利大廈,34,1466.900000000000091,177.099999999999994,1644.000000000000000,18,39,15630,0.4,1,0,0,1,0,836050,817944,油尖旺區,Yau Tsim Mong,*
28,良友大廈,860,9069,22.302530000000001,114.175049999999999,3607718175T20050430,COMPANION COURT,良友大廈,0,3447.199999999999818,463.800000000000011,3911.000000000000000,10,66,19210,0.4,1,2,0,0,0,836077,818175,油尖旺區,Yau Tsim Mong,***
29,美麗都大廈 C座,550,10000,22.297339999999998,114.172610000000006,3585617595P20050810,MIRADOR MANSION,美麗都大廈,0,37625.000000000000000,18480.000000000000000,56105.000000000000000,18,65,19500,0.05,1,2,0,1,0,835826,817623,油尖旺區,Yau Tsim Mong,***
30,HIGH LIFE MANSION 繼園街16-18號,865,8323,22.300809999999998,114.187049999999999,3731817987T20160415,One Harbour Gate - West Office Villa, ,0,0,54812.000000000000000,54812.000000000000000,15,9,62210,0.5,1,0,0,0,0,0,0,九龍城區,Kowloon City, 
31,美輪大廈,725,8800,22.290929999999999,114.200140000000005,3868016869T20050430,MAYLUN APARTMENTS,美輪大廈,0,19383.000000000000000,1542.000000000000000,20925.000000000000000,18,65,22170,0.05,1,2,0,1,0,838680,816869,東區,Eastern,***
32,華登大廈 A-B座,739,14884,22.329239999999999,114.162989999999994,3483821132T20050430,WAH TANG BUILDING,華登大廈,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
33,華廈大廈,848,11792,22.282119999999999,114.185100000000006,3710815917T20050430,WELCOME MANSION,華廈大廈,0,4978.500000000000000,611.000000000000000,5589.500000000000000,12,65,50230,0.2,1,0,0,1,0,837108,815917,灣仔區,Wan Chai,*
34,華登大廈 A-B座,856,12850,22.329239999999999,114.162989999999994,3483821132T20050430,WAH TANG BUILDING,華登大廈,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
35,華登大廈 C-D座,696,12040,22.329239999999999,114.162989999999994,3483821132T20050430,WAH TANG BUILDING,華登大廈,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
36,百德大廈 B座,688,11162,22.281169999999999,114.184950000000001,3709815814T20050430,PATERSON BUILDING BLOCK B,百德大廈B座,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837098,815814,灣仔區,Wan Chai,*
37,翠華大廈 2座,1023,11143,22.321809999999999,114.179559999999995,3654520310T20050430,MANDARIN COURT BLOCK 2,翠華大廈第２座,0,5719.300000000000182,0,5719.300000000000182,12,65,87000,1.500000000000000,1,0,0,1,0,836545,820310,九龍城區,Kowloon City,*
38,何東道2-8號,871,12629,22.327400000000001,114.179890000000000,3657720926T20050430,NO SPECIFIC NAME,沒有名稱,0,3699.000000000000000,0,3699.000000000000000,9,65,82000,1.500000000000000,1,0,0,1,0,836577,820926,九龍城區,Kowloon City,*
39,華登大廈 C-D座,843,12313,22.329239999999999,114.162989999999994,3483821132T20050430,WAH TANG BUILDING,華登大廈,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
40,百德大廈 D座,688,12325,22.280860000000001,114.185059999999993,3711315774T20050430,PATERSON BUILDING BLOCK D,百德大廈D座,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837113,815774,灣仔區,Wan Chai,*
41,百德大廈 D座,817,14687,22.280860000000001,114.185059999999993,3711315774T20050430,PATERSON BUILDING BLOCK D,百德大廈D座,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837113,815774,灣仔區,Wan Chai,*
42,帝國大廈,886,8803,22.320010000000000,114.176240000000007,3620520113T20050430,IMPERIAL COURT,帝國大廈,0,10453.200000000000728,471.199999999999989,10924.399999999999636,14,64,30000,0.7,1,0,0,1,0,836205,820113,九龍城區,Kowloon City,*
