OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,
415,13863,541,22.278729999999999,114.174840000000003,菲林明大廈,FLEMING BUILDING,菲林明大廈,6/1/1968 0:00,0,3627.500000000000000,490.899999999999977,4118.399999999999636,15,56,18380,0.2,1,0,0,0,0,836050,815544,灣仔區,Wan Chai,*,
416,10000,710,22.276520000000001,114.174279999999996,中南樓,CHUNG NAM MANSION,中南樓,9/1/1967 0:00,0,3831.599999999999909,1293.299999999999955,5124.899999999999636,16,57,23250,0.05,1,0,0,1,0,835990,815300,灣仔區,Wan Chai,*,
417,13975,415,22.281549999999999,114.127409999999998,聯安新樓,LUEN ON APARTMENTS,聯安新樓,9/1/1969 0:00,0,6564.100000000000364,664.399999999999977,7228.500000000000000,18,55,25800,0.05,1,0,0,1,0,831169,815857,中西區,Central and Western,*,
418,10367,463,22.318840000000002,114.167850000000001,新亞大樓,NEW ASIA BUILDING,新亞大樓,2/1/1968 0:00,0,2338.099999999999909,296.300000000000011,2634.400000000000091,14,57,13000,0.05,1,0,1,1,0,835339,819981,油尖旺區,Yau Tsim Mong,*,
419,13598,478,22.280660000000001,114.182550000000006,寶漢大廈,PO HON BUILDING,寶漢大廈,11/1/1967 0:00,0,3375.099999999999909,1996.599999999999909,5371.699999999999818,15,57,18800,0.05,1,0,0,1,0,836853,815760,灣仔區,Wan Chai,*,
420,10567,511,22.286140000000000,114.133939999999996,百好大樓,PAK HOO MANSION,百好大樓,7/1/1968 0:00,0,4577.600000000000364,2737.300000000000182,7314.899999999999636,13,56,28300,0.1,1,0,0,1,0,831843,816377,中西區,Central and Western,*,
421,13143,913,22.336099999999998,114.137330000000006,美孚新邨 1期 百老匯街6-8號,NO SPECIFIC NAME,沒有名稱,12/1/1968 0:00,0,12393.100000000000364,694.399999999999977,13087.500000000000000,21,56,45000,0.3,1,0,0,0,1,832190,821892,深水埗區,Sham Shui Po,*,
422,10599,868,22.336279999999999,114.137850000000000,美孚新邨 1期 百老匯街10-12號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,7/1/1969 0:00,0,24163.700000000000728,0,24163.700000000000728,21,55,45000,0.3,1,0,0,0,1,832243,821917,深水埗區,Sham Shui Po,*,
423,9964,853,22.336079999999999,114.138149999999996,美孚新邨 1期 百老匯街18-20號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,6/1/1969 0:00,0,13852.799999999999272,0,13852.799999999999272,21,55,45000,0.3,1,0,0,0,1,832281,821889,深水埗區,Sham Shui Po,*,
424,11019,579,22.336950000000002,114.138589999999994,美孚新邨 1期 百老匯街23號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,3/1/1969 0:00,0,11691.100000000000364,0,11691.100000000000364,19,56,45000,0.3,1,0,0,0,1,832323,821982,深水埗區,Sham Shui Po,*,
425,9001,1022,22.336099999999998,114.137330000000006,美孚新邨 1期 百老匯街6-8號,NO SPECIFIC NAME,沒有名稱,12/1/1968 0:00,0,12393.100000000000364,694.399999999999977,13087.500000000000000,21,56,45000,0.3,1,0,0,0,1,832190,821892,深水埗區,Sham Shui Po,*,
426,8762,913,22.336400000000001,114.137410000000003,美孚新邨 1期 百老匯街2-4號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,13916.799999999999272,0,13916.799999999999272,21,56,45000,0.2,1,0,0,0,1,832205,821927,深水埗區,Sham Shui Po,*,
427,10021,918,22.336079999999999,114.138149999999996,美孚新邨 1期 百老匯街18-20號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,6/1/1969 0:00,0,13852.799999999999272,0,13852.799999999999272,21,55,45000,0.3,1,0,0,0,1,832281,821889,深水埗區,Sham Shui Po,*,
428,13000,600,22.282650000000000,114.149439999999998,堅威大廈,CAINEWAY MANSION,堅威大廈,9/1/1969 0:00,0,7613.000000000000000,3255.699999999999818,10868.700000000000728,29,55,55000,0.7,1,0,0,1,0,833446,815980,中西區,Central and Western,*,
429,10097,515,22.313369999999999,114.170829999999995,永僑大廈,WING KIU BUILDING,永僑大廈,2/1/1969 0:00,0,2959.099999999999909,2173.500000000000000,5132.600000000000364,17,56,12490,0.05,1,0,0,1,0,835648,819370,油尖旺區,Yau Tsim Mong,*,
430,11589,516,22.277729999999998,114.172280000000001,協生大廈,HIP SANG BUILDING,協生大廈,7/1/1969 0:00,0,5552.899999999999636,1431.500000000000000,6984.399999999999636,17,55,16000,0.05,1,0,0,1,0,835798,815433,灣仔區,Wan Chai,*,
431,10653,704,22.336079999999999,114.138149999999996,美孚新邨 1期 百老匯街18-20號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,6/1/1969 0:00,0,13852.799999999999272,0,13852.799999999999272,21,55,45000,0.3,1,0,0,0,1,832281,821889,深水埗區,Sham Shui Po,*,
432,9302,946,22.336020000000001,114.137720000000002,美孚新邨 1期 百老匯街14-16號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,7/1/1969 0:00,0,24163.700000000000728,0,24163.700000000000728,21,55,45000,0.3,1,0,0,0,1,832230,821886,深水埗區,Sham Shui Po,*,
433,8344,719,22.336990000000000,114.137690000000006,美孚新邨 1期 百老匯街5-7號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.05,1,0,0,0,1,832232,821992,深水埗區,Sham Shui Po,*,
434,13301,827,22.336760000000002,114.137609999999995,美孚新邨 1期 百老匯街1-3號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.2,1,0,0,0,1,832222,821968,深水埗區,Sham Shui Po,*,
435,13230,907,22.336279999999999,114.137850000000000,美孚新邨 1期 百老匯街10-12號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,7/1/1969 0:00,0,24163.700000000000728,0,24163.700000000000728,21,55,45000,0.3,1,0,0,0,1,832243,821917,深水埗區,Sham Shui Po,*,
436,10780,974,22.336020000000001,114.137720000000002,美孚新邨 1期 百老匯街14-16號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,7/1/1969 0:00,0,24163.700000000000728,0,24163.700000000000728,21,55,45000,0.3,1,0,0,0,1,832230,821886,深水埗區,Sham Shui Po,*,
437,16666,600,22.282650000000000,114.149439999999998,堅威大廈,CAINEWAY MANSION,堅威大廈,9/1/1969 0:00,0,7613.000000000000000,3255.699999999999818,10868.700000000000728,29,55,55000,0.7,1,0,0,1,0,833446,815980,中西區,Central and Western,*,
438,13669,695,22.282650000000000,114.149439999999998,堅威大廈,CAINEWAY MANSION,堅威大廈,9/1/1969 0:00,0,7613.000000000000000,3255.699999999999818,10868.700000000000728,29,55,55000,0.7,1,0,0,1,0,833446,815980,中西區,Central and Western,*,
439,10969,629,22.337190000000000,114.137810000000002,美孚新邨 1期 百老匯街9-11號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.05,1,0,0,0,1,832254,822010,深水埗區,Sham Shui Po,*,
440,10303,856,22.336400000000001,114.137410000000003,美孚新邨 1期 百老匯街2-4號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,13916.799999999999272,0,13916.799999999999272,21,56,45000,0.2,1,0,0,0,1,832205,821927,深水埗區,Sham Shui Po,*,
441,10103,485,22.337080000000000,114.138069999999999,美孚新邨 1期 百老匯街15-17號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,12/1/1968 0:00,0,8644.000000000000000,0,8644.000000000000000,20,56,45000,0.05,1,0,0,0,1,832271,822001,深水埗區,Sham Shui Po,*,
442,14510,827,22.336659999999998,114.138459999999995,美孚新邨 1期 百老匯街25-27號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,4/1/1969 0:00,0,9998.200000000000728,0,9998.200000000000728,20,55,45000,0.3,1,0,0,0,1,832309,821953,深水埗區,Sham Shui Po,*,
443,10640,827,22.336760000000002,114.137609999999995,美孚新邨 1期 百老匯街1-3號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.2,1,0,0,0,1,832222,821968,深水埗區,Sham Shui Po,*,
444,10984,701,22.336980000000001,114.138289999999998,美孚新邨 1期 百老匯街19-21號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,12/1/1968 0:00,0,8997.899999999999636,0,8997.899999999999636,19,56,45000,0.2,1,0,0,0,1,832291,821990,深水埗區,Sham Shui Po,*,
445,10798,639,22.336980000000001,114.138289999999998,美孚新邨 1期 百老匯街19-21號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,12/1/1968 0:00,0,8997.899999999999636,0,8997.899999999999636,19,56,45000,0.2,1,0,0,0,1,832291,821990,深水埗區,Sham Shui Po,*,
446,11864,885,22.336400000000001,114.137410000000003,美孚新邨 1期 百老匯街2-4號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,13916.799999999999272,0,13916.799999999999272,21,56,45000,0.2,1,0,0,0,1,832205,821927,深水埗區,Sham Shui Po,*,
447,12173,460,22.336950000000002,114.138589999999994,美孚新邨 1期 百老匯街23號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,3/1/1969 0:00,0,11691.100000000000364,0,11691.100000000000364,19,56,45000,0.3,1,0,0,0,1,832323,821982,深水埗區,Sham Shui Po,*,
448,10826,859,22.336400000000001,114.137410000000003,美孚新邨 1期 百老匯街2-4號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,13916.799999999999272,0,13916.799999999999272,21,56,45000,0.2,1,0,0,0,1,832205,821927,深水埗區,Sham Shui Po,*,
449,9656,787,22.336099999999998,114.137330000000006,美孚新邨 1期 百老匯街6-8號,NO SPECIFIC NAME,沒有名稱,12/1/1968 0:00,0,12393.100000000000364,694.399999999999977,13087.500000000000000,21,56,45000,0.3,1,0,0,0,1,832190,821892,深水埗區,Sham Shui Po,*,
450,10033,885,22.336400000000001,114.137410000000003,美孚新邨 1期 百老匯街2-4號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,13916.799999999999272,0,13916.799999999999272,21,56,45000,0.2,1,0,0,0,1,832205,821927,深水埗區,Sham Shui Po,*,
451,10352,454,22.337080000000000,114.138069999999999,美孚新邨 1期 百老匯街15-17號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,12/1/1968 0:00,0,8644.000000000000000,0,8644.000000000000000,20,56,45000,0.05,1,0,0,0,1,832271,822001,深水埗區,Sham Shui Po,*,
452,12091,827,22.336760000000002,114.137609999999995,美孚新邨 1期 百老匯街1-3號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.2,1,0,0,0,1,832222,821968,深水埗區,Sham Shui Po,*,
453,11883,446,22.337080000000000,114.138069999999999,美孚新邨 1期 百老匯街15-17號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,12/1/1968 0:00,0,8644.000000000000000,0,8644.000000000000000,20,56,45000,0.05,1,0,0,0,1,832271,822001,深水埗區,Sham Shui Po,*,
454,11512,886,22.336079999999999,114.138149999999996,美孚新邨 1期 百老匯街18-20號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,6/1/1969 0:00,0,13852.799999999999272,0,13852.799999999999272,21,55,45000,0.3,1,0,0,0,1,832281,821889,深水埗區,Sham Shui Po,*,
455,11331,706,22.337190000000000,114.137810000000002,美孚新邨 1期 百老匯街9-11號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.05,1,0,0,0,1,832254,822010,深水埗區,Sham Shui Po,*,
456,11428,700,22.336659999999998,114.138459999999995,美孚新邨 1期 百老匯街25-27號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,4/1/1969 0:00,0,9998.200000000000728,0,9998.200000000000728,20,55,45000,0.3,1,0,0,0,1,832309,821953,深水埗區,Sham Shui Po,*,
457,14631,516,22.277729999999998,114.172280000000001,協生大廈,HIP SANG BUILDING,協生大廈,7/1/1969 0:00,0,5552.899999999999636,1431.500000000000000,6984.399999999999636,17,55,16000,0.05,1,0,0,1,0,835798,815433,灣仔區,Wan Chai,*,
458,9286,827,22.337190000000000,114.137810000000002,美孚新邨 1期 百老匯街9-11號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.05,1,0,0,0,1,832254,822010,深水埗區,Sham Shui Po,*,
459,9177,523,22.313430000000000,114.170310000000001,寶寧大廈,BELL HOUSE,寶寧大廈,4/1/1970 0:00,0,19002.200000000000728,5547.800000000000182,24550.000000000000000,21,54,21840,0.05,1,1,1,1,0,835596,819384,油尖旺區,Yau Tsim Mong,**,
460,11714,700,22.336659999999998,114.138459999999995,美孚新邨 1期 百老匯街25-27號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,4/1/1969 0:00,0,9998.200000000000728,0,9998.200000000000728,20,55,45000,0.3,1,0,0,0,1,832309,821953,深水埗區,Sham Shui Po,*,
461,12672,868,22.336279999999999,114.137850000000000,美孚新邨 1期 百老匯街10-12號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,7/1/1969 0:00,0,24163.700000000000728,0,24163.700000000000728,21,55,45000,0.3,1,0,0,0,1,832243,821917,深水埗區,Sham Shui Po,*,
462,10683,702,22.277729999999998,114.172280000000001,協生大廈,HIP SANG BUILDING,協生大廈,7/1/1969 0:00,0,5552.899999999999636,1431.500000000000000,6984.399999999999636,17,55,16000,0.05,1,0,0,1,0,835798,815433,灣仔區,Wan Chai,*,
463,11233,997,22.336020000000001,114.137720000000002,美孚新邨 1期 百老匯街14-16號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,7/1/1969 0:00,0,24163.700000000000728,0,24163.700000000000728,21,55,45000,0.3,1,0,0,0,1,832230,821886,深水埗區,Sham Shui Po,*,
464,14666,600,22.282650000000000,114.149439999999998,堅威大廈,CAINEWAY MANSION,堅威大廈,9/1/1969 0:00,0,7613.000000000000000,3255.699999999999818,10868.700000000000728,29,55,55000,0.7,1,0,0,1,0,833446,815980,中西區,Central and Western,*,
465,10675,918,22.336079999999999,114.138149999999996,美孚新邨 1期 百老匯街18-20號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,6/1/1969 0:00,0,13852.799999999999272,0,13852.799999999999272,21,55,45000,0.3,1,0,0,0,1,832281,821889,深水埗區,Sham Shui Po,*,
466,11494,696,22.336440000000000,114.138339999999999,美孚新邨 1期 百老匯街29-31號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,4/1/1969 0:00,0,10396.100000000000364,0,10396.100000000000364,20,55,45000,0.3,1,0,0,0,1,832298,821931,深水埗區,Sham Shui Po,*,
467,11331,706,22.336990000000000,114.137690000000006,美孚新邨 1期 百老匯街5-7號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.05,1,0,0,0,1,832232,821992,深水埗區,Sham Shui Po,*,
468,13669,695,22.282650000000000,114.149439999999998,堅威大廈,CAINEWAY MANSION,堅威大廈,9/1/1969 0:00,0,7613.000000000000000,3255.699999999999818,10868.700000000000728,29,55,55000,0.7,1,0,0,1,0,833446,815980,中西區,Central and Western,*,
469,11774,603,22.336760000000002,114.137609999999995,美孚新邨 1期 百老匯街1-3號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.2,1,0,0,0,1,832222,821968,深水埗區,Sham Shui Po,*,
470,12005,758,22.343689999999999,114.177449999999993,霞明閣 D座,CHERMAIN HEIGHTS BLOCK II,霞明閣,10/1/1969 0:00,0,11262.299999999999272,0,11262.299999999999272,14,55,78160,1.500000000000000,0,0,0,1,0,836327,822734,九龍城區,Kowloon City,*,
471,10920,467,22.336980000000001,114.138289999999998,美孚新邨 1期 百老匯街19-21號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,12/1/1968 0:00,0,8997.899999999999636,0,8997.899999999999636,19,56,45000,0.2,1,0,0,0,1,832291,821990,深水埗區,Sham Shui Po,*,
472,12661,853,22.336079999999999,114.138149999999996,美孚新邨 1期 百老匯街18-20號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,6/1/1969 0:00,0,13852.799999999999272,0,13852.799999999999272,21,55,45000,0.3,1,0,0,0,1,832281,821889,深水埗區,Sham Shui Po,*,
473,12641,617,22.336440000000000,114.138339999999999,美孚新邨 1期 百老匯街29-31號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,4/1/1969 0:00,0,10396.100000000000364,0,10396.100000000000364,20,55,45000,0.3,1,0,0,0,1,832298,821931,深水埗區,Sham Shui Po,*,
474,10166,480,22.329730000000001,114.164060000000006,寶昌大樓,PO CHEUNG BUILDING,寶昌大樓,8/1/1969 0:00,0,2025.500000000000000,1054.299999999999955,3079.800000000000182,13,55,23210,0.1,1,1,0,1,0,834949,821186,深水埗區,Sham Shui Po,**,
475,8071,446,22.330249999999999,114.163319999999999,文裔大廈,MAN YUI BUILDING,文裔大廈,6/1/1969 0:00,0,2740.400000000000091,295.899999999999977,3036.300000000000182,13,55,17550,0.05,1,1,0,1,0,834872,821243,深水埗區,Sham Shui Po,**,
476,11473,706,22.336990000000000,114.137690000000006,美孚新邨 1期 百老匯街5-7號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.05,1,0,0,0,1,832232,821992,深水埗區,Sham Shui Po,*,
477,11333,750,22.282650000000000,114.149439999999998,堅威大廈,CAINEWAY MANSION,堅威大廈,9/1/1969 0:00,0,7613.000000000000000,3255.699999999999818,10868.700000000000728,29,55,55000,0.7,1,0,0,1,0,833446,815980,中西區,Central and Western,*,
478,9895,480,22.329730000000001,114.164060000000006,寶昌大樓,PO CHEUNG BUILDING,寶昌大樓,8/1/1969 0:00,0,2025.500000000000000,1054.299999999999955,3079.800000000000182,13,55,23210,0.1,1,1,0,1,0,834949,821186,深水埗區,Sham Shui Po,**,
479,14454,761,22.343689999999999,114.177449999999993,霞明閣 C座,CHERMAIN HEIGHTS BLOCK II,霞明閣,10/1/1969 0:00,0,11262.299999999999272,0,11262.299999999999272,14,55,78160,1.500000000000000,0,0,0,1,0,836327,822734,九龍城區,Kowloon City,*,
480,10681,719,22.336990000000000,114.137690000000006,美孚新邨 1期 百老匯街5-7號,NO SPECIFIC NAME,沒有名稱,10/1/1968 0:00,0,25411.099999999998545,0,25411.099999999998545,20,56,45000,0.05,1,0,0,0,1,832232,821992,深水埗區,Sham Shui Po,*,
481,12089,579,22.336950000000002,114.138589999999994,美孚新邨 1期 百老匯街23號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,3/1/1969 0:00,0,11691.100000000000364,0,11691.100000000000364,19,56,45000,0.3,1,0,0,0,1,832323,821982,深水埗區,Sham Shui Po,*,
482,9625,694,22.337080000000000,114.138069999999999,美孚新邨 1期 百老匯街15-17號,MEI FOO SUN CHUEN STAGE I,美孚新邨第一期,12/1/1968 0:00,0,8644.000000000000000,0,8644.000000000000000,20,56,45000,0.05,1,0,0,0,1,832271,822001,深水埗區,Sham Shui Po,*,
483,10015,647,22.286519999999999,114.135069999999999,業昌大廈,YIP CHEONG BUILDING,業昌大廈,8/1/1970 0:00,0,22615.099999999998545,3817.599999999999909,26432.700000000000728,17,54,19940,0.05,1,2,0,0,0,831964,816434,中西區,Central and Western,***,
484,10273,584,22.279029999999999,114.180890000000005,友光大廈,YAU KWONG BUILDING,友光大廈,1/1/1970 0:00,0,6281.899999999999636,3017.500000000000000,9299.399999999999636,17,55,30800,0.2,1,1,0,1,0,836681,815577,灣仔區,Wan Chai,**,
485,14150,424,22.280989999999999,114.185860000000005,珠城大廈 A座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
486,15217,460,22.289100000000001,114.200140000000005,明園大廈 第一期,MING YUEN MANSIONS PHASE 1 BLOCK A,明園大廈 1期 A座,12/1/1968 0:00,0,30140.299999999999272,0,30140.299999999999272,22,56,36000,0.2,1,0,0,0,0,838664,816694,東區,Eastern,*,
487,11904,840,22.279029999999999,114.180890000000005,友光大廈,YAU KWONG BUILDING,友光大廈,1/1/1970 0:00,0,6281.899999999999636,3017.500000000000000,9299.399999999999636,17,55,30800,0.2,1,1,0,1,0,836681,815577,灣仔區,Wan Chai,**,
488,12589,834,22.278020000000001,114.175100000000000,軒尼詩大樓,HENNESSY ROAD COURT,軒尼詩道大樓,7/1/1968 0:00,0,3180.699999999999818,1277.299999999999955,4458.000000000000000,21,56,27950,0.2,1,0,0,1,0,836083,815455,灣仔區,Wan Chai,*,
489,9892,465,22.286519999999999,114.135069999999999,業昌大廈,YIP CHEONG BUILDING,業昌大廈,8/1/1970 0:00,0,22615.099999999998545,3817.599999999999909,26432.700000000000728,17,54,19940,0.05,1,2,0,0,0,831964,816434,中西區,Central and Western,***,
490,12033,831,22.336469999999998,114.229810000000001,華園,Ming Wah Yuen Block 1,明華園一座,12/1/1990 0:00,5,1489.599999999999909,64.099999999999994,1553.700000000000045,2,34,43000,2.500000000000000,0,0,0,0,0,841723,821934,西貢區,Sai Kung,*,
491,10791,480,22.450240000000001,114.096029999999999,祥園,NO SPECIFIC NAME,祥苑,1/1/1981 0:00,0,179.199999999999989,0,179.199999999999989,3,44,25500,5.000000000000000,0,0,0,0,0,827948,834536,元朗區,Yuen Long,*,
492,10642,996,22.325180000000000,114.178700000000006,高明大廈,DOMINION COURT,高明大廈,4/1/1970 0:00,0,4992.699999999999818,0,4992.699999999999818,12,54,114910,1.000000000000000,1,0,0,1,0,836455,820684,九龍城區,Kowloon City,*,
493,15355,521,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
494,11156,493,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
495,13793,493,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
496,15700,521,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
497,8841,803,22.342020000000002,114.196830000000006,龍翔苑 1座,TROPICANA GARDENS BLOCK 1,豪苑第一座,9/1/1985 0:00,600,24765.000000000000000,10107.899999999999636,34872.900000000001455,30,39,34000,0.2,1,0,0,0,0,838328,822551,黃大仙區,Wong Tai Sin,*,
498,12048,996,22.325180000000000,114.178700000000006,高明大廈,DOMINION COURT,高明大廈,4/1/1970 0:00,0,4992.699999999999818,0,4992.699999999999818,12,54,114910,1.000000000000000,1,0,0,1,0,836455,820684,九龍城區,Kowloon City,*,
499,12170,493,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
500,10793,996,22.325180000000000,114.178700000000006,高明大廈,DOMINION COURT,高明大廈,4/1/1970 0:00,0,4992.699999999999818,0,4992.699999999999818,12,54,114910,1.000000000000000,1,0,0,1,0,836455,820684,九龍城區,Kowloon City,*,
501,15415,493,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
502,9825,631,22.308260000000001,114.171080000000003,金勳大廈,HONOUR HOUSE,金勳大廈,11/1/1969 0:00,0,7512.399999999999636,2348.099999999999909,9860.500000000000000,19,55,16400,0.3,1,2,0,1,0,835672,818818,油尖旺區,Yau Tsim Mong,***,
503,13996,563,22.280989999999999,114.185860000000005,珠城大廈 B座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
504,7256,441,22.286970000000000,114.139870000000002,永成樓,Wing Shing Building,永成樓,9/1/1976 0:00,0,889.200000000000045,834.399999999999977,1723.599999999999909,14,48,25240,0.2,1,0,0,1,0,832452,816448,中西區,Central and Western,*,
505,12166,563,22.280989999999999,114.185860000000005,珠城大廈 B座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
506,18255,493,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
507,11967,493,22.280989999999999,114.185860000000005,珠城大廈 C座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
508,13259,543,22.280989999999999,114.185860000000005,珠城大廈 A座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
509,15452,563,22.280989999999999,114.185860000000005,珠城大廈 A座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
510,15591,558,22.280989999999999,114.185860000000005,珠城大廈 A座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
511,11345,996,22.325180000000000,114.178700000000006,高明大廈,DOMINION COURT,高明大廈,4/1/1970 0:00,0,4992.699999999999818,0,4992.699999999999818,12,54,114910,1.000000000000000,1,0,0,1,0,836455,820684,九龍城區,Kowloon City,*,
512,15913,558,22.280989999999999,114.185860000000005,珠城大廈 A座,PEARL  CITY  MANSION,珠城大廈,12/1/1972 0:00,0,33802.099999999998545,15200.600000000000364,49002.699999999997090,33,52,30120,0.1,1,0,0,1,0,837169,815778,灣仔區,Wan Chai,*,
