OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,
24,8647,636,22.279740000000000,114.225449999999995,樂群大廈,LOK KWAN HOUSE,樂群大廈,10/1/1958 0:00,0,5867.000000000000000,494.000000000000000,6361.000000000000000,12,66,32000,0.4,1,1,0,1,0,841277,815661,東區,Eastern,**,
25,6984,859,22.300450000000001,114.174750000000003,金巴利大廈,KIMLEY HOUSE,金利大廈,6/1/1985 0:00,34,1466.900000000000091,177.099999999999994,1644.000000000000000,18,39,15630,0.4,1,0,0,1,0,836050,817944,油尖旺區,Yau Tsim Mong,*,
26,9069,860,22.302530000000001,114.175049999999999,良友大廈,COMPANION COURT,良友大廈,1/1/1959 0:00,0,3447.199999999999818,463.800000000000011,3911.000000000000000,10,66,19210,0.4,1,2,0,0,0,836077,818175,油尖旺區,Yau Tsim Mong,***,
27,10000,550,22.297339999999998,114.172610000000006,美麗都大廈 C座,MIRADOR MANSION,美麗都大廈,7/1/1959 0:00,0,37625.000000000000000,18480.000000000000000,56105.000000000000000,18,65,19500,0.05,1,2,0,1,0,835826,817623,油尖旺區,Yau Tsim Mong,***,
28,8800,725,22.290929999999999,114.200140000000005,美輪大廈,MAYLUN APARTMENTS,美輪大廈,7/1/1959 0:00,0,19383.000000000000000,1542.000000000000000,20925.000000000000000,18,65,22170,0.05,1,2,0,1,0,838680,816869,東區,Eastern,***,
29,14884,739,22.329239999999999,114.162989999999994,華登大廈 A-B座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**,
30,11792,848,22.282119999999999,114.185100000000006,華廈大廈,WELCOME MANSION,華廈大廈,9/1/1959 0:00,0,4978.500000000000000,611.000000000000000,5589.500000000000000,12,65,50230,0.2,1,0,0,1,0,837108,815917,灣仔區,Wan Chai,*,
31,12850,856,22.329239999999999,114.162989999999994,華登大廈 A-B座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**,
32,12040,696,22.329239999999999,114.162989999999994,華登大廈 C-D座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**,
33,11162,688,22.281169999999999,114.184950000000001,百德大廈 B座,PATERSON BUILDING BLOCK B,百德大廈B座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837098,815814,灣仔區,Wan Chai,*,
34,11143,1023,22.321809999999999,114.179559999999995,翠華大廈 2座,MANDARIN COURT BLOCK 2,翠華大廈第２座,3/1/1960 0:00,0,5719.300000000000182,0,5719.300000000000182,12,65,87000,1.500000000000000,1,0,0,1,0,836545,820310,九龍城區,Kowloon City,*,
35,12629,871,22.327400000000001,114.179890000000000,何東道2-8號,NO SPECIFIC NAME,沒有名稱,1/1/1960 0:00,0,3699.000000000000000,0,3699.000000000000000,9,65,82000,1.500000000000000,1,0,0,1,0,836577,820926,九龍城區,Kowloon City,*,
