OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
12,8571,511,22.338159999999998,114.156090000000006,長發大廈,CHEUNG FAT MANSION,長發大廈,12/1/1958 0:00,0,3515.500000000000000,305.600000000000023,3821.099999999999909,9,66,19000,0.4,0,0,1,0,0,0,0,深水埗區,Sham Shui Po, 
13,14003,607,22.277429999999999,114.183290000000000,星華大廈,STARLIGHT HOUSE,星華大廈,12/1/1958 0:00,0,4025.699999999999818,293.500000000000000,4319.199999999999818,12,66,50000,0.3,1,0,0,1,0,836924,815401,灣仔區,Wan Chai,*
14,12893,698,22.325099999999999,114.178049999999999,美滿大廈,MAY MOON HOUSE,美滿大廈,6/1/1959 0:00,0,2857.300000000000182,110.000000000000000,2967.300000000000182,13,65,84160,1.000000000000000,1,0,0,1,0,836386,820675,九龍城區,Kowloon City,*
15,10256,780,22.316109999999998,114.223269999999999,康寧大廈,HONG NING BUILDING,康寧大廈,7/1/1963 0:00,0,8823.899999999999636,1293.000000000000000,10116.899999999999636,11,61,17100,0.6,0,2,1,0,0,841048,819678,觀塘區,Kwun Tong,***
16,15447,492,22.277580000000000,114.186530000000005,加路連大樓,Caroline Hill Court,加路連大樓,7/1/1959 0:00,0,8718.100000000000364,646.100000000000023,9364.200000000000728,13,65,19000,0.4,1,0,0,1,0,837256,815410,灣仔區,Wan Chai,*
17,8888,1044,22.297339999999998,114.172610000000006,美麗都大廈 D座,MIRADOR MANSION,美麗都大廈,7/1/1959 0:00,0,37625.000000000000000,18480.000000000000000,56105.000000000000000,18,65,19500,0.05,1,2,0,1,0,835826,817623,油尖旺區,Yau Tsim Mong,***
18,7194,1390,22.305759999999999,114.169110000000003,統一大廈 A座,UNITED MANSION BLOCK A,統一大廈Ａ座,11/1/1958 0:00,0,7465.000000000000000,1543.000000000000000,9008.000000000000000,16,66,16640,0.2,1,2,1,1,0,835474,818532,油尖旺區,Yau Tsim Mong,***
19,11090,541,22.277390000000000,114.186769999999996,禮加大樓,Lei Kwa Court,禮加大樓,7/1/1959 0:00,0,3988.500000000000000,297.600000000000023,4286.100000000000364,13,65,19000,0.4,1,0,0,1,0,837288,815390,灣仔區,Wan Chai,*
20,11013,572,22.277580000000000,114.186530000000005,加路連大樓,Caroline Hill Court,加路連大樓,7/1/1959 0:00,0,8718.100000000000364,646.100000000000023,9364.200000000000728,13,65,19000,0.4,1,0,0,1,0,837256,815410,灣仔區,Wan Chai,*
21,11351,703,22.281820000000000,114.184759999999997,華納大廈,VIENNA MANSION,華納大廈,11/1/1958 0:00,0,5523.000000000000000,753.000000000000000,6276.000000000000000,12,66,42250,0.2,1,0,0,1,0,837094,815889,灣仔區,Wan Chai,*
22,10224,978,22.283329999999999,114.191900000000004,金殿大廈,GOLDEN COURT,金殿大廈,11/1/1958 0:00,0,9535.000000000000000,2377.000000000000000,11912.000000000000000,12,66,35350,0.05,1,0,0,1,0,837816,816026,東區,Eastern,*
23,9280,625,22.280339999999999,114.223969999999994,禮林大廈,LAI LAM BUILDING,禮林大廈,2/1/1959 0:00,0,2598.800000000000182,218.000000000000000,2816.800000000000182,11,66,25000,0.2,1,0,0,1,0,841123,815728,東區,Eastern,*
24,10000,598,22.317380000000000,114.170569999999998,榮華大樓,WING WAH BUILDING,榮華大樓,5/1/1959 0:00,0,5020.000000000000000,4135.000000000000000,9155.000000000000000,12,65,19640,0.2,1,1,1,1,0,835615,819817,油尖旺區,Yau Tsim Mong,**
25,9627,590,22.290700000000001,114.196470000000005,皇冠大廈,CORONET COURT,皇冠大廈,9/1/1958 0:00,0,12025.799999999999272,1436.099999999999909,13461.899999999999636,15,66,19800,0.4,1,2,0,1,0,838289,816857,東區,Eastern,***
26,8647,636,22.279740000000000,114.225449999999995,樂群大廈,LOK KWAN HOUSE,樂群大廈,10/1/1958 0:00,0,5867.000000000000000,494.000000000000000,6361.000000000000000,12,66,32000,0.4,1,1,0,1,0,841277,815661,東區,Eastern,**
27,6984,859,22.300450000000001,114.174750000000003,金巴利大廈,KIMLEY HOUSE,金利大廈,6/1/1985 0:00,34,1466.900000000000091,177.099999999999994,1644.000000000000000,18,39,15630,0.4,1,0,0,1,0,836050,817944,油尖旺區,Yau Tsim Mong,*
28,9069,860,22.302530000000001,114.175049999999999,良友大廈,COMPANION COURT,良友大廈,1/1/1959 0:00,0,3447.199999999999818,463.800000000000011,3911.000000000000000,10,66,19210,0.4,1,2,0,0,0,836077,818175,油尖旺區,Yau Tsim Mong,***
29,10000,550,22.297339999999998,114.172610000000006,美麗都大廈 C座,MIRADOR MANSION,美麗都大廈,7/1/1959 0:00,0,37625.000000000000000,18480.000000000000000,56105.000000000000000,18,65,19500,0.05,1,2,0,1,0,835826,817623,油尖旺區,Yau Tsim Mong,***
30,8323,865,22.300809999999998,114.187049999999999,HIGH LIFE MANSION 繼園街16-18號,One Harbour Gate - West Office Villa, ,1/1/2016 0:00,0,0,54812.000000000000000,54812.000000000000000,15,9,62210,0.5,1,0,0,0,0,0,0,九龍城區,Kowloon City, 
31,8800,725,22.290929999999999,114.200140000000005,美輪大廈,MAYLUN APARTMENTS,美輪大廈,7/1/1959 0:00,0,19383.000000000000000,1542.000000000000000,20925.000000000000000,18,65,22170,0.05,1,2,0,1,0,838680,816869,東區,Eastern,***
32,14884,739,22.329239999999999,114.162989999999994,華登大廈 A-B座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
33,11792,848,22.282119999999999,114.185100000000006,華廈大廈,WELCOME MANSION,華廈大廈,9/1/1959 0:00,0,4978.500000000000000,611.000000000000000,5589.500000000000000,12,65,50230,0.2,1,0,0,1,0,837108,815917,灣仔區,Wan Chai,*
34,12850,856,22.329239999999999,114.162989999999994,華登大廈 A-B座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
35,12040,696,22.329239999999999,114.162989999999994,華登大廈 C-D座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
36,11162,688,22.281169999999999,114.184950000000001,百德大廈 B座,PATERSON BUILDING BLOCK B,百德大廈B座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837098,815814,灣仔區,Wan Chai,*
37,11143,1023,22.321809999999999,114.179559999999995,翠華大廈 2座,MANDARIN COURT BLOCK 2,翠華大廈第２座,3/1/1960 0:00,0,5719.300000000000182,0,5719.300000000000182,12,65,87000,1.500000000000000,1,0,0,1,0,836545,820310,九龍城區,Kowloon City,*
38,12629,871,22.327400000000001,114.179890000000000,何東道2-8號,NO SPECIFIC NAME,沒有名稱,1/1/1960 0:00,0,3699.000000000000000,0,3699.000000000000000,9,65,82000,1.500000000000000,1,0,0,1,0,836577,820926,九龍城區,Kowloon City,*
39,12313,843,22.329239999999999,114.162989999999994,華登大廈 C-D座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**
40,12325,688,22.280860000000001,114.185059999999993,百德大廈 D座,PATERSON BUILDING BLOCK D,百德大廈D座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837113,815774,灣仔區,Wan Chai,*
41,14687,817,22.280860000000001,114.185059999999993,百德大廈 D座,PATERSON BUILDING BLOCK D,百德大廈D座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837113,815774,灣仔區,Wan Chai,*
42,8803,886,22.320010000000000,114.176240000000007,帝國大廈,IMPERIAL COURT,帝國大廈,6/1/1960 0:00,0,10453.200000000000728,471.199999999999989,10924.399999999999636,14,64,30000,0.7,1,0,0,1,0,836205,820113,九龍城區,Kowloon City,*
43,15519,741,22.281169999999999,114.184950000000001,百德大廈 B座,PATERSON BUILDING BLOCK B,百德大廈B座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837098,815814,灣仔區,Wan Chai,*
44,10045,886,22.320010000000000,114.176240000000007,帝國大廈,IMPERIAL COURT,帝國大廈,6/1/1960 0:00,0,10453.200000000000728,471.199999999999989,10924.399999999999636,14,64,30000,0.7,1,0,0,1,0,836205,820113,九龍城區,Kowloon City,*
45,13052,498,22.281260000000000,114.185130000000001,百德大廈 A座,PATERSON BUILDING BLOCK A,百德大廈A座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,1,0,0,0,0,837119,815819,灣仔區,Wan Chai,*
46,12226,548,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*
47,8408,509,22.330449999999999,114.166250000000005,東廬大樓 A座,TUNG LO COURT BLOCK A,東廬大樓Ａ座,8/1/1960 0:00,0,19107.299999999999272,1696.799999999999955,20804.099999999998545,12,64,28430,0.3,0,2,0,1,0,835177,821256,深水埗區,Sham Shui Po,***
48,9643,1037,22.320010000000000,114.176240000000007,帝國大廈,IMPERIAL COURT,帝國大廈,6/1/1960 0:00,0,10453.200000000000728,471.199999999999989,10924.399999999999636,14,64,30000,0.7,1,0,0,1,0,836205,820113,九龍城區,Kowloon City,*
49,13838,831,22.283429999999999,114.191559999999996,凱旋大廈 B座,TRIUMPH COURT,凱旋大廈,10/1/1959 0:00,0,7754.000000000000000,795.200000000000045,8549.200000000000728,11,65,35350,0.05,1,0,0,0,0,837784,816060,東區,Eastern,*
50,12226,548,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*
51,12226,548,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*
52,11267,1065,22.289999999999999,114.209119999999999,民新大廈,MANSION BUILDING,民新大廈,8/1/1960 0:00,0,5809.600000000000364,886.399999999999977,6696.000000000000000,13,64,26990,0.2,1,1,0,0,0,839585,816796,東區,Eastern,**
53,13597,581,22.283429999999999,114.191559999999996,凱旋大廈 B座,TRIUMPH COURT,凱旋大廈,10/1/1959 0:00,0,7754.000000000000000,795.200000000000045,8549.200000000000728,11,65,35350,0.05,1,0,0,0,0,837784,816060,東區,Eastern,*
54,12345,567,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*
55,10901,688,22.280950000000001,114.185239999999993,百德大廈 C座,PATERSON BUILDING BLOCK C,百德大廈C座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,1,0,837131,815786,灣仔區,Wan Chai,*
56,10561,445,22.319310000000002,114.161360000000002,富貴大廈 西座,PEONY HOUSE WEST BLOCK,富貴大廈西座,7/1/1961 0:00,0,11119.000000000000000,1344.000000000000000,12463.000000000000000,12,63,24000,0.05,1,1,0,0,0,834684,820043,油尖旺區,Yau Tsim Mong,**
57,10526,684,22.297979999999999,114.171779999999998,海防大廈,HAI PHONG MANSION,海防大廈,11/1/1960 0:00,0,12280.700000000000728,2176.900000000000091,14457.600000000000364,16,64,22000,0.05,1,1,0,1,0,835742,817677,油尖旺區,Yau Tsim Mong,**
58,11434,962,22.288160000000001,114.196060000000003,康德大廈,KENT MANSION,康德大廈,8/1/1961 0:00,0,9816.000000000000000,0,9816.000000000000000,13,63,31000,0.3,1,0,0,1,0,838257,816569,東區,Eastern,*
59,11761,670,22.282560000000000,114.192459999999997,百利大廈,PAK LEE BUILDING,百利大廈,3/1/1961 0:00,0,7916.300000000000182,1611.599999999999909,9527.899999999999636,14,64,46250,0.05,1,0,0,1,0,837866,815969,東區,Eastern,*
60,7954,440,22.319310000000002,114.161360000000002,富貴大廈 西座,PEONY HOUSE WEST BLOCK,富貴大廈西座,7/1/1961 0:00,0,11119.000000000000000,1344.000000000000000,12463.000000000000000,12,63,24000,0.05,1,1,0,0,0,834684,820043,油尖旺區,Yau Tsim Mong,**
61,11827,930,22.269559999999998,114.184950000000001,成和大廈,SING WOO BUILDING,成和大廈,4/1/1961 0:00,0,2250.000000000000000,250.000000000000000,2500.000000000000000,10,63,30000,1.500000000000000,1,1,0,1,0,837097,814530,灣仔區,Wan Chai,**
62,9333,600,22.306249999999999,114.167710000000000,利成大廈,LEE SHING MANSION,利成大廈,6/1/1961 0:00,0,6159.500000000000000,1307.599999999999909,7467.100000000000364,14,63,24300,0.1,1,2,0,1,0,835323,818580,油尖旺區,Yau Tsim Mong,***
63,9936,634,22.284610000000001,114.153869999999998,華源大廈 C座,WAH YUEN BUILDING,華源大廈,5/1/1977 0:00,0,0,2042.500000000000000,2042.500000000000000,14,47,27200,0.2,1,0,0,0,0,0,0,中西區,Central and Western, 
64,10588,850,22.284610000000001,114.153869999999998,華源大廈 A座,WAH YUEN BUILDING,華源大廈,5/1/1977 0:00,0,0,2042.500000000000000,2042.500000000000000,14,47,27200,0.2,1,0,0,0,0,0,0,中西區,Central and Western, 
65,10781,742,22.284610000000001,114.153869999999998,華源大廈 D座,WAH YUEN BUILDING,華源大廈,5/1/1977 0:00,0,0,2042.500000000000000,2042.500000000000000,14,47,27200,0.2,1,0,0,0,0,0,0,中西區,Central and Western, 
66,8067,471,22.315230000000000,114.222309999999993,宜安大廈,YEE ON BUILDING,宜安大廈,7/1/1961 0:00,0,2689.000000000000000,547.100000000000023,3236.099999999999909,6,63,16380,0.3,0,2,0,1,0,840950,819581,觀塘區,Kwun Tong,***
67,9590,415,22.282869999999999,114.212940000000003,太就樓,TAI CHOW HOUSE,太就樓,10/1/1960 0:00,0,7672.199999999999818,131.000000000000000,7803.199999999999818,10,64,20580,0.4,1,0,0,1,0,839979,816000,東區,Eastern,*
68,13793,725,22.283700000000000,114.142510000000001,興華樓 B座,HING WAH MANSION BLOCK B,興華樓B座,11/1/1961 0:00,0,3565.000000000000000,155.000000000000000,3720.000000000000000,12,63,85500,0.1,1,0,0,1,0,832735,816090,中西區,Central and Western,*
69,16622,456,22.283700000000000,114.142510000000001,興華樓 B座,HING WAH MANSION BLOCK B,興華樓B座,11/1/1961 0:00,0,3565.000000000000000,155.000000000000000,3720.000000000000000,12,63,85500,0.1,1,0,0,1,0,832735,816090,中西區,Central and Western,*
70,11783,611,22.301410000000001,114.174949999999995,太平洋大廈,PACIFIC BUILDING,太平洋大廈,12/1/1961 0:00,0,3970.000000000000000,537.500000000000000,4507.500000000000000,12,63,19210,0.5,1,0,0,1,0,836073,818052,油尖旺區,Yau Tsim Mong,*
71,11471,462,22.317689999999999,114.175070000000005,自由大廈,LIBERTY MANSION,自由大廈,1/1/1962 0:00,0,4452.000000000000000,291.000000000000000,4743.000000000000000,16,63,65000,0.6,1,0,0,1,0,836083,819853,九龍城區,Kowloon City,*
72,9484,601,22.321310000000000,114.170540000000003,龍旺大廈,LUNG MONG BUILDING,龍旺大廈,1/1/1962 0:00,0,4037.300000000000182,306.699999999999989,4344.000000000000000,12,63,15000,0.1,1,1,0,1,0,835619,820257,油尖旺區,Yau Tsim Mong,**
73,11640,634,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*
74,10495,484,22.292290000000001,114.198279999999997,和富大樓,WHARF MANSION,和富大樓,6/1/1962 0:00,0,6580.000000000000000,956.000000000000000,7536.000000000000000,15,62,27490,0.2,1,1,0,1,0,838470,817048,東區,Eastern,**
75,8728,527,22.248500000000000,114.152810000000002,利群大廈,ABBA COMMERCIAL BUILDING,利群商業大廈,3/1/1983 0:00,462,21138.000000000000000,11300.000000000000000,32438.000000000000000,29,42,35080,1.500000000000000,1,0,0,0,0,0,0,南區,Southern, 
76,8484,825,22.248500000000000,114.152810000000002,利群大廈,ABBA COMMERCIAL BUILDING,利群商業大廈,3/1/1983 0:00,462,21138.000000000000000,11300.000000000000000,32438.000000000000000,29,42,35080,1.500000000000000,1,0,0,0,0,0,0,南區,Southern, 
77,10957,637,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*
78,10648,1033,22.325340000000001,114.177700000000002,太和苑,PEACE GARDEN,太和苑,1/1/1962 0:00,0,4116.000000000000000,0,4116.000000000000000,13,63,84160,0.9,1,0,0,0,0,836356,820700,九龍城區,Kowloon City,*
79,12378,887,22.325340000000001,114.177700000000002,太和苑,PEACE GARDEN,太和苑,1/1/1962 0:00,0,4116.000000000000000,0,4116.000000000000000,13,63,84160,0.9,1,0,0,0,0,836356,820700,九龍城區,Kowloon City,*
80,11115,484,22.292290000000001,114.198279999999997,和富大樓,WHARF MANSION,和富大樓,6/1/1962 0:00,0,6580.000000000000000,956.000000000000000,7536.000000000000000,15,62,27490,0.2,1,1,0,1,0,838470,817048,東區,Eastern,**
81,7173,460,22.247540000000001,114.157889999999995,香港仔大樓,YIP YEE MANSION,業漁大樓,8/1/1968 0:00,0,856.700000000000045,1350.299999999999955,2207.000000000000000,13,56,20000,1.000000000000000,1,0,0,0,0,834312,812076,南區,Southern,*
82,13406,634,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*
83,12558,637,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*
84,10602,896,22.296109999999999,114.171409999999995,漢中大廈,HANCHUNG MANSION,漢中大廈,5/1/1962 0:00,0,2955.599999999999909,540.899999999999977,3496.500000000000000,13,62,22000,0.05,1,0,0,1,0,835703,817465,油尖旺區,Yau Tsim Mong,*
85,10071,556,22.301410000000001,114.174949999999995,太平洋大廈,PACIFIC BUILDING,太平洋大廈,12/1/1961 0:00,0,3970.000000000000000,537.500000000000000,4507.500000000000000,12,63,19210,0.5,1,0,0,1,0,836073,818052,油尖旺區,Yau Tsim Mong,*
86,11292,611,22.301410000000001,114.174949999999995,太平洋大廈,PACIFIC BUILDING,太平洋大廈,12/1/1961 0:00,0,3970.000000000000000,537.500000000000000,4507.500000000000000,12,63,19210,0.5,1,0,0,1,0,836073,818052,油尖旺區,Yau Tsim Mong,*
87,10979,490,22.317689999999999,114.175070000000005,自由大廈,LIBERTY MANSION,自由大廈,1/1/1962 0:00,0,4452.000000000000000,291.000000000000000,4743.000000000000000,16,63,65000,0.6,1,0,0,1,0,836083,819853,九龍城區,Kowloon City,*
88,11324,574,22.303200000000000,114.168329999999997,偉安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*
89,13548,465,22.281820000000000,114.183650000000000,海殿大廈,HOI DEEN COURT,海殿大廈,8/1/1963 0:00,0,9117.000000000000000,472.000000000000000,9589.000000000000000,18,61,18000,0.2,1,0,0,1,0,836961,815887,灣仔區,Wan Chai,*
90,12676,781,22.339630000000000,114.155270000000002,興華大廈,WO HING BUILDING,和興大廈,6/1/1957 0:00,0,5632.500000000000000,643.100000000000023,6275.600000000000364,8,67,20000,0.5,0,2,0,1,0,834044,822285,深水埗區,Sham Shui Po,***
91,7471,787,22.289860000000001,114.195549999999997,五洲大廈,CONTINENTAL MANSION,五洲大廈,10/1/1962 0:00,0,26221.599999999998545,3614.199999999999818,29835.799999999999272,23,62,31000,0.3,1,1,0,1,0,838187,816789,東區,Eastern,**
92,12139,659,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*
93,8612,1045,22.316330000000001,114.226540000000000,啟德樓,KAI TAK HOUSE,啓德樓,7/1/1963 0:00,0,3658.000000000000000,0,3658.000000000000000,14,61,28500,0.7,1,0,0,1,0,841384,819707,觀塘區,Kwun Tong,*
94,9167,685,22.303200000000000,114.168329999999997,百安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*
95,10359,946,22.325990000000001,114.186930000000004,玉華大廈,YORK MANSION,玉華大廈,6/1/1963 0:00,0,3115.199999999999818,0,3115.199999999999818,12,61,63200,0.7,0,0,0,0,0,837303,820777,九龍城區,Kowloon City,*
96,11431,1041,22.325990000000001,114.186930000000004,玉華大廈,YORK MANSION,玉華大廈,6/1/1963 0:00,0,3115.199999999999818,0,3115.199999999999818,12,61,63200,0.7,0,0,0,0,0,837303,820777,九龍城區,Kowloon City,*
97,16000,580,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*
98,8777,900,22.303200000000000,114.168329999999997,百安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*
99,11324,574,22.303200000000000,114.168329999999997,偉安大廈 A座,WAI ON BUILDING BLOCK A,偉安大廈Ａ座,10/1/1962 0:00,0,5410.399999999999636,420.300000000000011,5830.699999999999818,16,62,21430,0.05,1,0,0,1,0,835386,818246,油尖旺區,Yau Tsim Mong,*
100,11453,812,22.289860000000001,114.195549999999997,五洲大廈,CONTINENTAL MANSION,五洲大廈,10/1/1962 0:00,0,26221.599999999998545,3614.199999999999818,29835.799999999999272,23,62,31000,0.3,1,1,0,1,0,838187,816789,東區,Eastern,**
101,9917,605,22.290080000000000,114.194789999999998,南方大廈,SOUTHERN BUILDING,南方大廈,1/1/1963 0:00,0,17271.099999999998545,1407.500000000000000,18678.599999999998545,20,62,18420,0.2,1,1,0,1,0,838112,816787,東區,Eastern,**
102,11625,1015,22.281790000000001,114.185559999999995,美登大廈,HAMILTON MANSION,美登大廈,11/1/1962 0:00,0,6282.600000000000364,495.000000000000000,6777.600000000000364,13,62,50230,0.2,1,0,0,1,0,837172,815885,灣仔區,Wan Chai,*
103,5732,628,22.329360000000001,114.160120000000006,桂林街75-81號/大南街333-337號,NO SPECIFIC NAME,沒有名稱,4/1/1963 0:00,0,4516.000000000000000,634.600000000000023,5150.600000000000364,10,61,18100,0.2,0,0,0,1,0,0,0,深水埗區,Sham Shui Po, 
104,10939,841,22.268120000000000,114.184089999999998,寶德大廈,PO TAK MANSION,寶德大廈,3/1/1963 0:00,0,5092.500000000000000,0,5092.500000000000000,13,62,44500,2.000000000000000,1,0,0,0,0,837004,814353,灣仔區,Wan Chai,*
